#{"t_start": 1680874795.764268, "env_id": null}
r,l,t
0.25,4,2.002773
0.25,4,2.004764
0.0,4,2.006643
0.75,4,2.008566
0.25,4,2.010637
0.0,4,2.012579
0.0,4,2.01447
1.0,3,2.015941
0.0,4,2.01799
0.25,4,2.019813
0.5,4,2.02171
0.25,4,2.023799
0.5,4,2.025894
0.75,4,2.028005
0.75,4,2.032498
0.0,4,2.036377
1.0,4,2.039559
0.25,4,2.043147
0.5,4,2.04502
0.75,4,2.046919
0.25,4,2.048869
0.0,4,2.050735
0.25,4,2.052853
0.25,4,2.054865
0.0,4,2.056828
0.5,4,2.058776
0.75,4,2.060745
0.5,4,2.062771
0.0,4,2.064846
0.0,4,2.066651
0.0,4,2.06872
0.75,4,2.070551
0.5,4,2.072566
0.0,4,2.074396
0.25,4,2.076322
0.0,4,2.078279
0.75,4,2.080145
0.0,4,2.082202
0.5,4,2.084179
0.25,4,2.085959
0.0,4,2.087959
0.5,4,2.089945
0.75,4,2.091861
0.25,4,2.093687
0.5,4,2.095692
0.0,4,2.097707
0.25,4,2.099583
0.5,4,2.101776
0.25,4,2.103904
0.75,4,2.105842
0.0,4,2.107865
0.0,4,2.10979
0.75,4,2.11182
0.25,4,2.113805
0.25,4,2.115909
0.25,4,2.11803
1.0,4,2.120174
0.25,4,2.122105
0.25,4,2.124118
0.25,4,2.126197
0.25,4,2.128157
0.25,4,2.130233
0.0,4,2.132147
0.0,4,2.134015
0.25,4,2.135749
0.25,4,2.137528
0.75,4,2.139397
0.75,4,2.141283
0.5,4,2.142994
0.0,4,2.144973
0.25,4,2.146945
0.25,4,2.148877
0.25,4,2.150619
0.0,4,2.152485
0.25,4,2.154558
0.5,4,2.156345
0.5,4,2.158144
0.5,4,2.160178
0.5,4,2.162067
0.5,4,2.164288
0.25,4,2.166151
0.25,4,2.168193
0.0,4,2.169956
0.75,4,2.171906
0.75,4,2.173965
0.5,4,2.176068
0.5,4,2.178113
0.25,4,2.18008
0.75,4,2.182295
0.5,4,2.184245
0.0,4,2.186143
0.5,4,2.188076
0.5,4,2.189991
0.5,4,2.192083
0.25,4,2.193871
0.5,4,2.195759
0.25,4,2.197843
0.0,4,2.199766
0.5,4,2.201969
0.25,4,2.203966
0.25,4,2.205861
0.25,4,2.207805
0.25,4,2.20983
0.75,4,2.211872
0.75,4,2.214142
0.75,4,2.21625
0.0,4,2.218053
0.75,4,2.219892
0.25,4,2.221914
0.75,4,2.223888
0.75,4,2.225807
0.75,4,2.227765
0.5,4,2.229894
0.25,4,2.231931
0.25,4,2.233745
1.0,3,2.23529
0.5,4,2.237253
0.25,4,2.239249
0.75,4,2.241066
0.25,4,2.243292
0.75,4,2.245469
0.75,4,2.247578
0.5,4,2.249334
0.0,4,2.251275
0.0,4,2.253275
0.0,4,2.255355
0.25,4,2.257432
0.25,4,2.259432
0.5,4,2.261249
0.0,4,2.263094
0.25,4,2.265088
0.5,4,2.267135
0.5,4,2.269081
0.5,4,2.271146
0.5,4,2.273102
0.25,4,2.275182
0.5,4,2.277174
0.75,4,2.27907
0.75,4,2.280998
0.5,4,2.283061
0.25,4,2.285069
0.0,4,2.286996
0.75,4,2.288809
0.5,4,2.290596
0.25,4,2.292557
0.5,4,2.294538
0.5,4,2.296571
0.0,4,2.298622
0.5,4,2.300456
0.0,4,2.302448
0.25,4,2.304493
0.25,4,2.306387
0.5,4,2.308113
0.5,4,2.309953
0.75,4,2.311924
0.0,4,2.313938
0.25,4,2.315828
0.0,4,2.317691
0.25,4,2.319801
0.0,4,2.321802
0.5,4,2.324046
0.25,4,2.326047
0.0,4,2.328077
0.5,4,2.329909
0.75,4,2.33207
0.0,4,2.333847
0.5,4,2.33567
0.25,4,2.337688
0.25,4,2.33961
0.75,4,2.341603
0.5,4,2.343396
0.0,4,2.345426
0.25,4,2.347438
0.25,4,2.349305
0.0,4,2.351186
0.5,4,2.353172
0.5,4,2.355369
0.5,4,2.357292
0.5,4,2.359283
0.25,4,2.361249
0.5,4,2.363331
0.0,4,2.36526
0.25,4,2.367067
1.0,3,2.368509
0.25,4,2.37052
0.25,4,2.372617
0.0,4,2.374521
0.25,4,2.376285
0.5,4,2.378377
0.25,4,2.380453
0.0,4,2.382563
0.25,4,2.384424
0.5,4,2.386268
0.75,4,2.388143
0.0,4,2.390006
0.75,4,2.391782
0.5,4,2.393602
1.0,4,2.395619
0.5,4,2.39751
0.0,4,2.39943
0.5,4,2.40122
0.5,4,2.402973
0.5,4,2.404853
0.5,4,2.406849
0.25,4,2.408921
0.0,4,2.410729
0.25,4,2.412483
0.25,4,2.414312
0.25,4,2.416343
0.0,4,2.418419
0.75,4,2.42043
0.25,4,2.422547
0.25,4,2.424714
0.75,4,2.426805
0.25,4,2.428745
0.75,4,2.4307
0.0,4,2.432836
0.25,4,3.20641
0.25,4,3.208841
0.75,4,3.21125
0.0,4,3.213631
0.25,4,3.215837
0.75,4,3.218048
0.25,4,3.220182
0.0,4,3.222352
0.25,4,3.224489
0.5,4,3.226516
0.75,4,3.228555
0.5,4,3.230531
0.0,4,3.232326
0.0,4,3.23428
0.25,4,3.236468
0.75,4,3.238511
0.25,4,3.240343
0.25,4,3.242277
0.75,4,3.244168
0.75,4,3.246113
0.5,4,3.248191
0.25,4,3.250229
0.25,4,3.25219
0.25,4,3.254208
0.75,4,3.256049
0.0,4,3.257985
0.5,4,3.259886
0.5,4,3.261931
0.0,4,3.266881
0.25,4,3.268714
0.25,4,3.27083
0.5,4,3.272989
0.25,4,3.274986
0.25,4,3.276914
0.0,4,3.278868
0.75,4,3.280845
0.0,4,3.282656
0.75,4,3.284462
0.75,4,3.286291
0.0,4,3.288084
0.0,4,3.289936
0.75,4,3.291964
0.25,4,3.293748
0.25,4,3.295587
0.75,4,3.2974
0.25,4,3.299326
0.25,4,3.301195
0.25,4,3.303016
0.0,4,3.304894
1.0,4,3.306787
0.5,4,3.308587
0.0,4,3.310591
0.75,4,3.312464
0.5,4,3.314473
0.75,4,3.316301
0.0,4,3.318077
0.25,4,3.319936
0.25,4,3.321828
0.25,4,3.323991
0.75,4,3.32623
0.0,4,3.328205
0.5,4,3.329972
0.25,4,3.331702
0.0,4,3.333436
0.5,4,3.335394
0.75,4,3.337501
0.75,4,3.339543
0.5,4,3.341536
0.5,4,3.343428
0.5,4,3.345288
0.0,4,3.347147
0.5,4,3.348921
0.25,4,3.350615
0.5,4,3.352642
0.25,4,3.35468
0.0,4,3.35682
0.5,4,3.35881
0.5,4,3.360854
0.25,4,3.362858
0.25,4,3.365071
1.0,4,3.367091
0.0,4,3.369163
0.25,4,3.370999
0.25,4,3.372857
0.25,4,3.374702
0.0,4,3.376534
0.0,4,3.378377
0.5,4,3.380406
0.75,4,3.382428
0.5,4,3.384497
0.0,4,3.386438
0.0,4,3.388584
0.75,4,3.39052
0.25,4,3.392546
0.25,4,3.394684
0.5,4,3.396728
0.75,4,3.398568
0.25,4,3.400565
0.25,4,3.402503
0.5,4,3.404447
0.0,4,3.406575
0.25,4,3.408499
0.5,4,3.4104
0.25,4,3.412188
0.5,4,3.414372
0.25,4,3.416438
0.25,4,3.418567
0.75,4,3.420532
0.0,4,3.422571
0.0,4,3.424561
0.5,4,3.426705
0.25,4,3.428601
0.5,4,3.430392
0.5,4,3.432278
0.75,4,3.43417
0.75,4,3.436
0.25,4,3.438003
1.0,3,3.439704
0.25,4,3.441725
0.25,4,3.443621
0.25,4,3.445742
0.25,4,3.447928
0.75,4,3.44973
0.25,4,3.451646
0.25,4,3.453566
0.0,4,3.455685
0.0,4,3.457657
0.5,4,3.459696
0.75,4,3.461465
